vectorLength,actualNumComparisons,expectedNumComparisons,timeElapsed
320,2688,2688,0
321,2698,2698,0
322,2708,2708,0
323,2718,2718,0
324,2728,2728,0
325,2738,2738,0
326,2748,2748,0
327,2758,2758,0
328,2768,2768,0
329,2778,2778,0
330,2788,2788,0
331,2798,2798,0
332,2808,2808,0
333,2818,2818,0
334,2828,2828,0
335,2838,2838,0
336,2848,2848,0
337,2858,2858,0
338,2868,2868,0
339,2878,2878,0
340,2888,2888,0
341,2898,2898,0
342,2908,2908,0
343,2918,2918,0.000998
344,2928,2928,0
345,2938,2938,0
346,2948,2948,0
347,2958,2958,0
348,2968,2968,0
349,2978,2978,0
350,2988,2988,0
351,2998,2998,0
352,3008,3008,0
353,3018,3018,0
354,3028,3028,0
355,3038,3038,0.000997
356,3048,3048,0
357,3058,3058,0
358,3068,3068,0
359,3078,3078,0
360,3088,3088,0
361,3098,3098,0
362,3108,3108,0
363,3118,3118,0
364,3128,3128,0
365,3138,3138,0
366,3148,3148,0.000997
367,3158,3158,0
368,3168,3168,0
369,3178,3178,0
370,3188,3188,0
371,3198,3198,0
372,3208,3208,0
373,3218,3218,0
374,3228,3228,0
375,3238,3238,0
376,3248,3248,0
377,3258,3258,0.000998
378,3268,3268,0
379,3278,3278,0
380,3288,3288,0
381,3298,3298,0
382,3308,3308,0
383,3318,3318,0
384,3328,3328,0
385,3338,3338,0
386,3348,3348,0
387,3358,3358,0
388,3368,3368,0.000997
389,3378,3378,0
390,3388,3388,0
391,3398,3398,0
392,3408,3408,0
393,3418,3418,0
394,3428,3428,0
395,3438,3438,0
396,3448,3448,0
397,3458,3458,0
398,3468,3468,0.000998
399,3478,3478,0
400,3488,3488,0
401,3498,3498,0
402,3508,3508,0
403,3518,3518,0
404,3528,3528,0
405,3538,3538,0
406,3548,3548,0
407,3558,3558,0
408,3568,3568,0.000997
409,3578,3578,0
410,3588,3588,0
411,3598,3598,0
412,3608,3608,0
413,3618,3618,0
414,3628,3628,0
415,3638,3638,0
416,3648,3648,0
417,3658,3658,0
418,3668,3668,0.000997
419,3678,3678,0
420,3688,3688,0
421,3698,3698,0
422,3708,3708,0
423,3718,3718,0
424,3728,3728,0
425,3738,3738,0
426,3748,3748,0
427,3758,3758,0
428,3768,3768,0
429,3778,3778,0
430,3788,3788,0
431,3798,3798,0.000408
432,3808,3808,0.000101
433,3818,3818,7e-005
434,3828,3828,5.1e-005
435,3838,3838,0
436,3848,3848,0.000182
437,3858,3858,0.000127
438,3868,3868,8.4e-005
439,3878,3878,8.6e-005
440,3888,3888,0
441,3898,3898,0
442,3908,3908,0
443,3918,3918,0.00042
444,3928,3928,7.3e-005
445,3938,3938,7.8e-005
446,3948,3948,6.7e-005
447,3958,3958,0
448,3968,3968,0
449,3978,3978,0
450,3988,3988,0
451,3998,3998,5.1e-005
452,4008,4008,8.2e-005
453,4018,4018,0
454,4028,4028,0.000215
455,4038,4038,0
456,4048,4048,0
457,4058,4058,0
458,4068,4068,0.000438
459,4078,4078,9.6e-005
460,4088,4088,8.6e-005
461,4098,4098,0
462,4108,4108,0.000259
463,4118,4118,9.2e-005
464,4128,4128,6.2e-005
465,4138,4138,0.000149
466,4148,4148,8.9e-005
467,4158,4158,0
468,4168,4168,0
469,4178,4178,0
470,4188,4188,0.000465
471,4198,4198,0.000112
472,4208,4208,0
473,4218,4218,0
474,4228,4228,0
475,4238,4238,0
476,4248,4248,0.000108
477,4258,4258,0
478,4268,4268,0
479,4278,4278,0
480,4288,4288,0.000382
481,4298,4298,0
482,4308,4308,0.000316
483,4318,4318,0.000107
484,4328,4328,4.8e-005
485,4338,4338,0
486,4348,4348,0
487,4358,4358,0
488,4368,4368,0.000537
489,4378,4378,0.00011
490,4388,4388,5.8e-005
491,4398,4398,0
492,4408,4408,0.000297
493,4418,4418,1.5e-005
494,4428,4428,9e-005
495,4438,4438,0.000129
496,4448,4448,0.000109
497,4458,4458,0
498,4468,4468,0
499,4478,4478,0
500,4488,4488,0.000492
501,4498,4498,0.000124
502,4508,4508,0.000103
503,4518,4518,0.000117
504,4528,4528,0
505,4538,4538,0
506,4548,4548,0
507,4558,4558,0
508,4568,4568,0
509,4578,4578,0
510,4588,4588,7.4e-005
511,4598,4598,7.4e-005
512,4608,4608,0
513,4619,4619,0.000297
514,4630,4630,1.5e-005
515,4641,4641,0
516,4652,4652,0
517,4663,4663,0
518,4674,4674,0.000524
519,4685,4685,0
520,4696,4696,0.000346
521,4707,4707,3.5e-005
522,4718,4718,0.000198
523,4729,4729,0.000102
524,4740,4740,6e-005
525,4751,4751,0.00012
526,4762,4762,0.000196
527,4773,4773,0.000125
528,4784,4784,5.9e-005
529,4795,4795,0
530,4806,4806,0
531,4817,4817,0
532,4828,4828,0.000562
533,4839,4839,0.000152
534,4850,4850,0.000144
535,4861,4861,0.000109
536,4872,4872,0.00011
537,4883,4883,1.8e-005
538,4894,4894,0
539,4905,4905,0.000333
540,4916,4916,0
541,4927,4927,0
542,4938,4938,0
543,4949,4949,0
544,4960,4960,0
545,4971,4971,0
546,4982,4982,0
547,4993,4993,0
548,5004,5004,0
549,5015,5015,0
550,5026,5026,0
551,5037,5037,0
552,5048,5048,0
553,5059,5059,0
554,5070,5070,7.6e-005
555,5081,5081,9.1e-005
556,5092,5092,0
557,5103,5103,0.000242
558,5114,5114,0.000126
559,5125,5125,6e-005
560,5136,5136,0
561,5147,5147,0
562,5158,5158,0
563,5169,5169,0
564,5180,5180,0
565,5191,5191,0.000144
566,5202,5202,0
567,5213,5213,0.000289
568,5224,5224,0
569,5235,5235,0
570,5246,5246,0
571,5257,5257,0
572,5268,5268,0
573,5279,5279,0
574,5290,5290,0
575,5301,5301,0
576,5312,5312,0
577,5323,5323,0
578,5334,5334,0
579,5345,5345,0
580,5356,5356,0
581,5367,5367,0.000398
582,5378,5378,0
583,5389,5389,0
584,5400,5400,0
585,5411,5411,0
586,5422,5422,0
587,5433,5433,0
588,5444,5444,0.000218
589,5455,5455,0
590,5466,5466,0
591,5477,5477,0
592,5488,5488,0
593,5499,5499,0
594,5510,5510,0.000371
595,5521,5521,0.000101
